Filename		C:\Users\fisica\Desktop\cambio profiler a mephysto\A1.6X.20.0x20.0.prm	
TimeStamp		3/7/2023 14:19:00	
Description			
Institution		HCUV	
Software Version		3.5.0.40	
Machine Setup:
Room		A3	
Machine Type			
Machine Model		DHX	
Machine Serial Number		5529	
Beam Type		X-Ray	
Energy		6	
Wedge Angle	deg	0	
Wedge Type	deg	None	
Gantry Angle	deg	0	
Collimator Angle	deg	0	
Collimator Left	cm	10	
Collimator Right	cm	10	
Collimator Top	cm	10	
Collimator Bottom	cm	10	
Rate	MU/min	500	
Dose	MU	200	
Field Size	MU	20 x 20	
Collector Setup:
Orientation		Y Axis	
Tray Mount		No	
SSD	cm	100.000	
Alignment	cm	Cross Hair	
Buildup	cm	3.000	
Buildup Type	cm	WaterEquiv	
Calibration File	cm	C:\SNC\Profiler\Factors\5699421\10 02 2023 6MV.cal	
Collector Config:
Collector Model		IC PROFILER	
Collector Serial		5699421	
Collector Revision		F	
Firmware Version	ms	2.5.1	
Measurement Mode	ms	Pulsed	
Nominal Gain	ms	4	
Collection Interval	ms	125	
General Analysis
CAX Dose		0	
Photon Wedge Angle		0	
Analysis Config		Custom	
Flatness type		Variance	
Symmetry Type		Point Ratio (sym)	
Energy Calibration			
Energy Analysis		Intercept	
Penumbra Top		80	
Penumbra Bottom		20	
Flatness Field Percent		80	
Symmetry Field Percent		80	
Base Intensity Point		MAX	
Intensity Field Percentage		50	
X Axis Analysis
Field Size	cm	20,035	
Beam Center	cm	0,00877106	
Light/Rad Coinc. Bottom	cm	0,00872151	
Light/Rad Coinc. Top	cm	0,0262636	
Penumbra Bottom	cm	0,436472	
Penumbra Top	cm	0,423588	
Flatness Result	perc	1,30256	
Symmetry Result	perc	101,645	
Electron Energy	Ep0		
Electron Energy	D80		
Y Axis Analysis
Field Size	cm	20,0528	
Beam Center	cm	-0,128295	
Light/Rad Coinc. Bottom	cm	0,154708	
Light/Rad Coinc. Top	cm	-0,101883	
Penumbra Bottom	cm	0,563627	
Penumbra Top	cm	0,466204	
Flatness Result	perc	1,14424	
Symmetry Result	perc	101,428	
Electron Energy	Ep0		
Electron Energy	D80		
Positive Diagonal Analysis
Field Size	cm	28,1266	
Beam Center	cm	-0,0611992	
Light/Rad Coinc. Bottom	cm	-0,0176559	
Light/Rad Coinc. Top	cm	-0,140054	
Penumbra Bottom	cm	0,487215	
Penumbra Top	cm	0,567988	
Flatness Result	perc	1,65175	
Symmetry Result	perc	100,829	
Electron Energy	Ep0		
Electron Energy	D80		
Negative Diagonal Analysis
Field Size	cm	28,1189	
Beam Center	cm	0,0657086	
Light/Rad Coinc. Bottom	cm	-0,148379	
Light/Rad Coinc. Top	cm	-0,0169622	
Penumbra Bottom	cm	0,590585	
Penumbra Top	cm	0,487116	
Flatness Result	perc	2,2658	
Symmetry Result	perc	101,906	
Electron Energy	Ep0		
Electron Energy	D80		
Measured Data:	Total Dose-Normalized (%)
Pulses:		7203
TimerTics	(1 uSec)	24035052

Detector ID	X Axis Position(cm)	Set 1
	-16,00	2,14500468	
	-15,50	2,34930442	
	-15,00	2,71156867	
	-14,50	3,08136886	
	-14,00	3,59115739	
	-13,50	4,13171924	
	-13,00	4,71889750	
	-12,50	5,62034832	
	-12,00	6,69617813	
	-11,50	7,94968628	
	-11,00	9,78861754	
	-10,50	15,24984752	
	-10,00	70,69265461	
	-9,50	94,85928412	
	-9,00	97,79163714	
	-8,50	98,84340049	
	-8,00	99,68505133	
	-7,50	100,32041030	
	-7,00	100,62440085	
	-6,50	100,78628237	
	-6,00	100,74104337	
	-5,50	100,89418868	
	-5,00	101,08698104	
	-4,50	100,83133405	
	-4,00	99,98047621	
	-3,50	100,26111329	
	-3,00	100,44781851	
	-2,50	100,40665651	
	-2,00	100,34736765	
	-1,50	100,38885587	
	-1,00	100,18821067	
	0,00	100,00000000	
	1,00	100,34968605	
	1,50	100,64266578	
	2,00	101,00570343	
	2,50	101,16714238	
	3,00	101,30837269	
	3,50	101,36790623	
	4,00	101,62472552	
	4,50	101,92694354	
	5,00	102,11739629	
	5,50	102,10213643	
	6,00	102,18272811	
	6,50	101,83985321	
	7,00	102,00442425	
	7,50	101,54896490	
	8,00	101,15346022	
	8,50	100,23519864	
	9,00	99,11819379	
	9,50	96,43296318	
	10,00	73,95891172	
	10,50	15,56597908	
	11,00	9,74331605	
	11,50	7,84605048	
	12,00	6,67586865	
	12,50	5,64691103	
	13,00	4,82073860	
	13,50	4,08708452	
	14,00	3,46260932	
	14,50	2,98021821	
	15,00	2,91591616	
	15,50	2,86294382	
	16,00	2,61209319	
Detector ID	Y Axis Position(cm)	Set 1
	-16,00	3,11459620	
	-15,50	3,39005507	
	-15,00	4,02727731	
	-14,50	4,39397238	
	-14,00	4,85191147	
	-13,50	5,49710733	
	-13,00	6,09862899	
	-12,50	6,82047816	
	-12,00	7,82102613	
	-11,50	9,00855090	
	-11,00	11,27178346	
	-10,50	23,89722290	
	-10,00	81,47189921	
	-9,50	96,83892228	
	-9,00	99,18255382	
	-8,50	100,29544634	
	-8,00	101,01229315	
	-7,50	101,43847389	
	-7,00	101,56617616	
	-6,50	101,74832452	
	-6,00	102,01596008	
	-5,50	101,84837624	
	-5,00	102,02688858	
	-4,50	101,94093901	
	-4,00	101,68241299	
	-3,50	101,25369236	
	-3,00	101,11969020	
	-2,50	101,24062483	
	-2,00	100,94986473	
	-1,50	100,52014198	
	-1,00	100,26032670	
	-0,50	100,34347808	
	0,00	100,00000000	
	0,50	99,97860345	
	1,00	100,12983066	
	1,50	100,28785273	
	2,00	100,47956683	
	2,50	100,50432132	
	3,00	100,54091281	
	3,50	100,86789309	
	4,00	100,84782121	
	4,50	100,91997428	
	5,00	100,90675786	
	5,50	101,19740982	
	6,00	100,57968687	
	6,50	100,55490244	
	7,00	100,60000384	
	7,50	100,30492863	
	8,00	99,67277142	
	8,50	98,61639519	
	9,00	97,21390904	
	9,50	92,51674159	
	10,00	48,42335763	
	10,50	13,75423798	
	11,00	9,72371252	
	11,50	8,16457431	
	12,00	7,09736861	
	12,50	6,29214679	
	13,00	5,62114758	
	13,50	4,96582984	
	14,00	4,52381616	
	14,50	3,94989931	
	15,00	3,51657504	
	15,50	3,24580744	
	16,00	2,83080267	
Detector ID	Positive Diagonal Position(cm)	Set 1
	-22,63	0,90470506	
	-21,92	0,91742423	
	-21,21	1,11102816	
	-20,51	1,28624863	
	-19,80	1,55059143	
	-19,09	1,90196482	
